stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
120,Rosas,,39.4926490784,-0.4672361016,B,
121,Aeroport,,39.4923667908,-0.4749194384,D,
122,Francesc Cubells,,39.4632453918,-0.3339729905,A,
123,Grau - Canyamelar,,39.4631004333,-0.3294720054,A,
126,Marina Reial Joan Carles I,,39.4632530212,-0.3258508444,A,
127,Mediterrani,,39.4665222168,-0.3279320002,A,
128,Alfauir,,39.4892997742,-0.3660329878,A,
129,Orriols,,39.4931488037,-0.3676636219,A,
130,Estadi del Llevant,,39.4949188232,-0.3655419946,A,
131,Sant Miquel dels Reis,,39.4972190857,-0.3684949875,A,
132,Tossal del Rei,,39.4959526062,-0.3725369871,A,
43,Alginet,,39.2629394531,-0.4748860002,C,
22,Ayora,,39.4664268494,-0.3429694474,A,
82,Les Arenes,,39.4689292908,-0.3257277906,A,
201,Torre del Virrei,,39.5686645508,-0.5419166684,C,
186,Riba-roja de Túria,,39.5433349609,-0.5594444275,C,
185,Masia de Traver,,39.5380554199,-0.5466666818,C,
183,La Cova,,39.4988899231,-0.4844444394,B,
184,La Presa,,39.5172233582,-0.5158333182,B,
188,València la Vella,,39.5304832458,-0.5342069864,C,
